nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
50875,912,13308,17691
50849,811,4791,9178
50849,929,3669,7911
50875,952,3473,7600
50875,1033,3865,8169
50875,845,3233,7355
50875,991,3693,7978
50875,866,3096,7352
50875,947,3735,7844
50875,859,3121,7412
50875,995,3965,8240
50875,895,3307,7441
50875,1047,4391,8739
50875,843,3383,7544
50875,944,3787,7984
50875,854,3057,7333
50875,1023,4357,8607
50875,814,3305,7463
50875,935,3633,7784
50875,880,3100,7348
50875,963,3683,7856
50875,852,3181,7417
50875,987,3686,8016
50875,883,3242,7475
50875,971,3770,7934
50875,857,3193,7426
50875,968,3743,7891
50875,874,3214,7437
50875,976,3735,7924
50875,887,3366,7577
50875,1146,5026,9096
50875,827,4244,8720
50875,926,3425,7606
50875,977,3819,8061
50875,984,3709,7964
50875,883,3405,7553
50875,976,3616,7878
50875,866,3306,7457
50875,989,3601,7834
50875,878,3162,7328
50875,978,3530,7736
50875,901,3221,7553
50875,993,3634,7900
50875,870,3280,7443
50875,966,3681,7916
50875,866,3406,7592
50875,1168,6350,10706
50868,800,4177,8255
50868,928,3412,7622
50849,900,3319,7691
50849,962,3432,7659
50875,883,3392,7573
50875,961,3482,7699
50875,904,3445,7638
50875,948,3355,7539
50875,887,3355,7557
50875,967,3379,7604
50875,904,3378,7702
50875,953,3400,7628
50875,913,3415,7583
50875,968,3494,7756
50875,885,3304,7484
50875,958,3349,7575
50875,881,3326,7501
50875,952,3393,7632
50875,902,3285,7595
50875,959,3405,7655
50875,888,3334,7494
50875,949,3270,7515
50875,878,3228,7360
50875,955,3328,7617
50875,908,3428,7566
50875,952,3260,7519
50875,934,3449,7777
50875,948,3463,7701
50875,890,3299,7461
50875,974,3427,7667
50875,873,3279,7430
50875,963,3386,7658
50875,895,3259,7430
50875,1097,4609,8823
50875,895,13074,16987
50875,1021,39366,43717
50808,1037,24384,28263
50808,971,25507,29979
50782,921,25220,29856
50782,1070,24048,27818
50782,929,25396,29975
50782,986,25159,29647
50782,894,25215,29093
50782,951,25644,30127
50775,927,25937,29860
50775,957,25429,29901
50782,1020,24696,28547
50782,1099,23315,27912
50808,1063,20870,24814
50808,1036,23747,28292
50808,1059,19143,23803
50808,1320,20061,23928
50808,1045,22923,27423
50808,2032,48997,53540
50808,1109,21872,25971
50808,1152,22642,27239
50808,1468,19458,23634
50808,1145,15010,19338
50808,1053,21683,25693
50808,1109,40789,44637
50741,1117,50165,54984
50741,1078,22232,26465
50775,964,25012,29595
50775,1313,22712,27105
50808,1413,12481,16595
50808,956,21936,26436
50808,1022,26764,30634
50808,1071,25593,30122
50775,964,26512,30508
50775,1093,27670,32132
50775,1008,25920,29972
50775,994,25903,30328
50775,1044,26171,30220
50775,1030,25888,30305
50775,1045,25822,30589
50775,963,25912,29576
50775,1069,26101,30704
50775,1040,25982,30484
50775,956,26124,30141
50775,1065,25944,30356
50775,1003,26447,30355
50775,1011,26322,30897
50775,995,26044,29779
50775,1060,26676,31039
50775,1043,26440,31443
50775,1035,26442,30140
50775,1059,26597,31221
50775,977,26541,30355
50775,1050,26139,30780
50775,1055,26672,31165
50775,987,26240,30136
50775,1028,25886,30446
50775,1033,26105,30106
50775,1006,25833,30285
50775,1024,26168,30073
50775,1100,28020,32512
50775,1050,26360,31101
50775,1033,25886,29678
50775,965,27118,31237
50775,1058,26009,30333
50775,1112,27042,31891
50775,964,25120,29384
50775,1023,25848,30062
50775,1034,26449,30596
50808,1008,26184,30443
50808,1050,26051,30289
50782,970,26782,30879
50782,1058,25873,30154
50775,1010,27178,31441
50775,1029,25918,30109
50775,1025,26351,31274
50775,1047,25984,30132
50775,1061,26767,30995
50775,1035,25728,30000
50775,1055,26714,30922
50775,1001,25136,29386
50775,1080,26850,31031
50775,994,24787,29094
50775,1013,25761,29972
50775,1035,25973,30183
50775,1074,26897,31098
50775,1058,26134,31020
50775,1024,27053,30687
50775,1018,25066,29978
50775,1039,27184,31328
50775,1010,26202,30400
50775,1101,28473,32728
50775,1027,26713,30812
50775,1003,26654,30979
50775,989,25613,29811
50775,1049,27467,31572
50775,1023,27317,32253
50775,1052,26103,29747
50775,1024,25308,30107
50775,1020,27312,31566
50775,967,27100,31310
50775,1023,26754,30956
50775,1061,26548,30816
50775,1004,26755,30963
50775,1060,26963,31179
50775,963,26636,30707
50775,984,26833,31154
50775,1000,26995,31265
50775,1054,26843,31119
50775,1080,27045,31737
50775,1036,26639,30931
50775,950,26886,31189
50775,1049,26711,30968
50775,1017,26366,30572
50775,1039,26524,30740
50775,1080,27576,31828
50775,1064,26951,31153
50775,1017,26178,30394
50775,1049,26620,30856
50775,1065,27179,31402
50775,990,25236,29462
50775,1107,27781,32727
50775,968,25384,29464
50775,1058,27657,31919
50775,1056,26536,30780
50775,999,26687,30931
50775,1052,26177,30182
50775,1000,26562,30971
50775,995,26234,30311
50775,1147,33699,38146
50775,999,25565,29652
50808,1094,33372,37468
50808,1090,31818,36334
50782,1039,26882,31618
50782,1033,27434,31689
50808,1049,26894,31227
50808,1489,24284,28240
50782,967,26492,31047
50782,859,24783,28906
50775,943,26478,30751
50775,873,25404,29506
50775,988,26189,31083
50775,1106,25389,29603
50775,939,26084,30408
50775,851,25251,29371
50775,956,26622,30742
50775,856,24954,29200
50775,932,26207,30373
50775,857,25976,30168
50775,936,26349,30537
50775,1062,24064,28311
50775,985,28445,32670
50775,862,26129,30303
50775,936,26283,30504
50775,886,26363,31225
50775,931,26671,30826
50775,918,25450,29666
50775,1073,25654,29867
50775,908,24993,29122
50775,879,26006,30296
50775,853,26066,30060
50775,957,26142,30409
50775,918,25608,29839
50775,872,26801,30998
50775,1119,24765,29004
50775,879,25285,30189
50775,957,25882,30033
50775,870,27038,31190
50775,924,25749,30002
50775,873,26578,30748
50775,909,25492,29593
50775,1101,25760,30116
50775,856,24445,28556
50775,940,26060,30283
50775,858,25786,29978
50775,944,26059,30305
50775,861,25679,29783
50775,982,26197,31161
50775,1053,24777,28891
50775,1209,25623,29842
50775,1442,24853,29102
50808,1375,26504,30797
50808,1398,26085,30224
50808,1510,26759,31160
50808,1887,25304,30426
50808,896,25021,28739
50808,864,24887,29789
50782,1061,26502,30729
50782,863,25221,29460
50775,946,26662,30793
50775,855,25954,30016
50046,954,26579,30904
50046,857,24825,28978
48831,943,26629,30816
48831,1065,23938,28146
48589,940,26424,30709
48589,870,25831,30038
48346,941,26631,30802
48346,858,26041,30224
48346,966,26357,31249
48346,866,24865,29041
48346,1424,25557,29887
48346,858,24616,28753
48346,955,26935,31150
48346,977,28031,32212
48346,881,27059,31218
48346,930,25556,29736
48346,878,27136,31396
