### Run 0
nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
17602,802,3280,15460
17602,799,2997,14878
17602,845,2892,14729
17602,843,2908,14760
17602,841,2955,14764
17602,847,2927,14787
17602,860,2973,15107
17602,841,2921,14749
17602,841,2972,14810
17602,837,3007,14788
17602,841,3067,14860
17602,870,3092,14931
17602,847,2991,14889
17602,863,3019,15070
17602,845,2997,14868
17602,847,3005,14885
17602,821,3071,14742
17602,859,3003,15018
17602,838,2989,14803
17602,845,2985,14831
17602,839,2916,14759
17602,838,2984,14828
17602,839,2993,14819
17602,884,3110,15166
17602,826,3049,14688
17602,856,2955,15025
17352,849,3060,14963
17352,834,3008,14803
17352,834,2951,14740
17352,843,2945,14801
17352,847,2979,14826
17352,873,3099,14916
17352,843,2943,14794
17352,861,2926,15022
17352,847,2938,14815
17352,866,3068,14876
17352,836,3004,14819
17352,840,2985,14835
17352,840,3008,14956
17352,838,3018,14754
17352,836,3000,14810
17352,861,2941,15061
17352,842,3043,14884
17352,831,2949,14702
17352,1026,3985,15763
17352,800,3250,15291
17358,827,3072,14846
17358,885,3074,15111
17358,819,2999,14610
17358,866,2957,15092
17358,836,2930,14772
17358,843,2979,14826
17358,830,3040,14829
17358,839,3053,14891
17358,843,3061,14938
17358,832,3038,14826
17358,844,3000,14861
17358,857,3005,15117
17358,850,3109,14977
17358,855,3122,14840
17358,850,3013,14940
17358,835,3010,14819
17358,849,3003,14892
17358,827,2985,14712
17358,853,2914,14850
17358,864,2942,15006
17607,818,3066,14655
17607,867,2981,15129
17607,830,2993,14712
17607,852,2993,14914
17607,847,2965,14842
17607,868,3109,14910
17607,832,3010,14832
17607,837,3031,14892
17607,845,3057,14868
17607,846,2942,14811
17607,857,3029,15136
17607,837,2970,14804
17607,837,3013,14852
17607,824,2939,14659
17607,872,3834,15614
17607,1035,14021,26058
17607,1013,38327,50292
17607,1004,23471,35338
17607,905,23913,35695
17607,841,24194,35959
17573,1041,23981,35993
17573,873,24172,35957
17573,937,24029,36401
17573,890,24157,36167
17573,847,24505,35625
17573,891,24167,36780
17573,927,23430,35236
17573,974,23373,35163
17573,1122,19554,31491
17573,988,21136,32913
17573,1024,22557,34498
17573,952,17631,29916
17573,1264,16680,28664
17573,977,20633,32497
17573,998,22059,33907
17573,1028,21757,33670
17573,978,22271,34218
17573,1413,14773,26513
17573,1035,18038,30048
17573,995,20816,32721
17573,986,46088,57480
17573,1009,42312,54625
17573,1023,22134,34485
17573,868,22672,34064
17573,1451,19083,31498
17573,1162,11352,23361
17573,905,22980,34362
17573,916,23892,35774
17573,969,24167,36091
17573,970,25455,37952
17573,967,24777,36702
17573,942,25360,37163
17573,940,26163,38161
17573,979,24828,36462
17573,1005,25889,37999
17573,933,24663,36479
17573,931,26405,38236
17573,1014,25772,37758
17573,954,26161,37999
17573,958,25987,37833
17318,969,26836,38757
17318,939,26112,38000
17318,975,25273,37189
17318,969,26637,38519
17318,980,26673,39269
17318,963,25382,36663
17318,965,25425,37762
17318,969,26347,38230
17318,949,26583,38548
