nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
66029,924,16030,19784
65986,709,26683,30895
65986,713,29153,32994
66196,644,22481,26421
66196,648,23314,27446
66196,750,22537,27097
66196,604,23130,27265
65943,626,22472,26387
65943,610,23093,27206
65943,590,23640,27613
65943,596,23059,27147
65943,691,22276,26213
65943,848,20570,24767
65953,767,17770,21753
65953,698,21996,26104
65986,805,17908,22470
65986,645,5290,9130
65986,704,18831,23015
65986,735,21764,25945
65986,700,21035,24990
65986,1147,15412,19551
65986,681,20474,24512
65986,770,21429,25562
65943,745,26958,31291
65943,717,51111,55287
65899,828,31650,35782
65899,1148,11604,15756
65943,582,20098,24222
65943,697,23054,26499
65943,632,23717,28219
65943,716,25873,30076
65943,662,24982,28853
65943,724,26711,30943
65943,631,25182,28989
65943,762,26263,30563
65953,686,25797,29671
65953,679,26310,30523
65943,709,25397,30008
65943,698,26172,30245
65943,702,25205,29226
65943,730,26837,31053
65943,646,25460,29385
65943,742,26610,30612
65943,661,25840,29835
65943,687,26760,30800
65943,682,25960,30135
65943,729,26816,30794
65943,684,25888,30591
65943,725,26538,30451
65943,637,25550,29728
65943,745,26742,30802
65943,688,25959,30021
65943,819,28104,32130
65701,710,24815,28830
65701,703,26624,30688
65943,714,25937,30615
65943,655,27124,30535
65700,686,26141,30235
65700,785,26787,31456
65700,661,25843,30017
65700,700,26418,30370
65458,684,25817,29790
65458,683,26786,30916
65458,660,26265,30317
65458,805,27173,31088
65701,658,26780,30982
65701,771,25982,30084
65701,711,26190,30887
65701,681,26581,30695
65701,661,26070,30038
65701,681,26903,31051
65701,713,25997,29844
65701,754,26626,30879
65458,704,25893,29764
65458,730,26401,30635
65458,742,26200,30009
65458,745,26764,31079
65700,752,26704,31386
65700,758,27309,31444
65458,712,25911,30028
65458,738,25732,29710
65458,702,25503,29624
65458,735,25793,29797
65458,688,25310,29367
65458,781,26376,30497
59688,720,27039,30982
59688,800,26402,30457
52955,778,25818,30018
52955,685,25597,29687
50290,759,25446,30116
50290,712,26223,29694
49319,679,25596,30258
49319,759,26488,30581
49076,680,24931,28925
49076,756,26361,30411
49076,662,25275,29273
49076,711,26084,30254
48833,646,25273,29226
48833,773,25763,29897
48590,723,25319,29343
48590,736,26315,30497
48590,729,25373,29960
48590,752,26667,30908
48590,700,25474,29326
48590,670,26333,30257
48590,663,26041,30222
48590,815,25852,29929
48590,696,25345,29350
48590,739,25779,29750
48590,721,25934,30137
48590,725,26348,30262
48590,704,25834,30474
48590,728,25965,30211
48590,691,26006,29940
48590,735,26177,30488
48590,728,26567,30429
48590,752,26278,30407
48590,734,26253,30195
48590,706,26266,30644
48590,726,26554,31063
48590,707,26142,29797
48590,727,26708,31121
48590,746,26378,30659
48590,677,26293,30173
48590,725,26115,30482
48590,683,26758,30513
48590,733,26151,30456
48590,680,26509,30366
48590,700,26100,30262
48590,838,26428,30981
48590,669,26405,29946
48590,855,25925,30329
48590,988,22631,26546
48590,606,25372,29945
48590,649,25844,29956
48590,569,26275,30199
48590,576,25943,30045
48590,572,26677,30571
48590,584,26875,35125
36266,610,26642,38926
36266,543,26276,37251
29228,789,24559,36793
29228,563,26130,37364
26560,586,25995,37924
26560,602,26278,38608
25342,566,27207,38304
25342,593,26201,38445
25098,603,26877,38895
25098,763,23468,34938
24610,568,26594,37848
24610,584,26357,38499
24610,589,26809,38741
24610,564,26214,37606
24610,585,26635,38641
24610,782,25509,36880
24610,581,25476,37372
24610,603,26257,38564
24367,552,26442,37599
24367,595,26133,38354
23636,557,26567,37760
23636,584,26199,38290
24133,776,24201,36127
24133,570,25520,36795
24123,592,26518,38765
24123,589,26170,38173
24123,566,26862,38052
24123,602,26301,38567
24123,645,26373,38166
24123,704,23185,34746
24367,576,26106,37808
24367,578,26144,37764
24123,572,26677,38426
24123,1161,23159,34775
24139,1145,24389,36467
24139,1151,24208,36529
24139,1077,24978,36222
24139,1657,23367,35783
23895,890,23121,35356
23895,556,24579,35928
23895,659,25612,37760
23895,548,25888,37039
24123,585,26388,38369
24123,570,25956,37392
23879,576,26317,38274
23879,572,25832,38052
24367,605,26538,37585
24367,805,22916,35395
24123,549,26431,37571
24123,592,26141,38343
24123,583,26363,38160
24123,566,25866,37388
23879,586,26513,38424
23879,1072,23993,35539
23879,583,23329,35091
23879,575,25583,37202
23879,583,26402,38035
23879,575,25910,37651
23879,597,26537,38772
23879,592,26344,38277
23879,784,23865,35631
23879,567,25756,37375
23879,578,26302,37958
23879,577,26013,37710
23879,587,26429,38117
23879,575,25846,37558
23879,799,25555,37326
23879,577,24442,36002
23879,586,26131,37887
23879,603,25950,38423
23879,592,26327,38133
23879,567,25887,37483
21457,1077,24432,36304
21457,1121,23840,35337
21457,1123,24728,36582
21457,1240,23732,35495
21457,1672,22789,35577
21457,660,23539,34544
21457,694,25675,37465
21457,803,26572,39047
21457,724,27038,38890
21457,671,26464,38047
21457,706,26695,38494
21457,695,27031,38559
21457,717,27185,38755
21457,707,27079,38992
21457,760,27151,38892
21457,730,26404,38006
21457,672,26870,38654
21457,738,26476,38169
21457,727,26902,38693
21457,712,26508,38947
21701,690,27367,38448
21701,736,26550,38982
21701,694,27372,39153
21701,704,26396,38085
21701,711,27190,38751
21701,690,26264,38003
21701,732,26856,38607
21701,690,26030,37759
21701,707,27291,38893
21701,721,26514,39146
21701,703,27423,39197
21701,650,26689,38191
21701,725,27377,38969
21701,673,26100,37882
21701,769,27458,39129
21701,674,25605,37437
21701,711,26760,38242
21701,681,25357,37270
21701,736,26522,38833
21701,728,25757,37497
21213,750,26615,37805
21213,746,26212,38473
21213,728,26405,38012
21213,724,24942,36981
21213,758,26957,38882
21213,708,26660,37866
21213,747,26898,38506
21213,731,26651,38713
21213,765,26961,39212
21213,725,26572,38490
21213,809,26972,38548
21213,717,25289,37067
21213,700,26922,38595
21213,722,26321,38174
21213,749,26745,38109
21213,713,26508,38544
21213,760,26906,38415
21213,676,25646,37459
21213,759,26976,38721
21213,968,24949,37230
21213,720,25262,37396
21213,595,25154,36912
21213,601,26153,37594
21213,581,25103,36780
21213,637,26295,38167
21213,734,24810,36755
21213,590,25605,36646
21213,594,25422,37630
21213,622,26471,37878
21213,586,25232,37064
21213,623,26112,37736
21213,596,25456,37224
21213,867,26364,38973
21213,569,25849,36730
21213,675,27016,39566
21213,569,24821,36047
21213,644,25400,37569
21213,577,24589,36162
21213,618,25190,37051
21213,578,24498,35839
20725,833,24768,36671
20725,587,24306,36025
20725,642,25748,37490
20725,625,25312,37518
20725,644,25532,37453
20725,583,24527,36221
20725,618,25504,37155
20725,789,24870,36137
20725,673,26684,39121
20725,607,25772,37431
20725,607,26021,37661
20725,596,26031,37861
20725,613,26117,37738
20725,598,26000,37710
20725,762,26387,37707
20725,707,26821,39163
20725,626,26510,37917
20725,624,26662,38454
20725,622,26310,38005
20725,622,25986,38378
21213,623,26555,38373
21213,565,26322,37216
21213,803,26287,37824
21213,629,26475,39202
21213,627,26082,37826
